     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     12288,        16,         0,   0.082,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
         1,         0,         0,   0.062,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
       546,         0,         0,   0.109,pymatching-correlated,1539299af7a66d73d3ade7580cc0ccde40d86fd949af58973753d32dbb8103d2,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
      1024,        25,         0,   0.036,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      1024,         0,         0,   0.118,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      2048,         1,         0,   0.078,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
     51200,       160,         0,   0.070,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      3072,        20,         0,   0.060,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      1024,         0,         0,   0.033,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
        32,         0,         0,   0.160,belief_find,b0ba6ff4e7d908c841df926c53593f09702fba5264c2230f8355fb9e8a320248,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      3072,        68,         0,   0.036,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
         1,         0,         0,   0.131,pymatching,4e405887ea3578b2eae7f24690a14f5dd9ef3411df5a426ca7be3a2cb0a94dd0,"{""basis"":""x"",""d"":9,""p"":0.004,""rounds"":9}",
        32,         0,         0,   0.173,bp_osd,ed968c388b1c4e1b1aa25213fc01cb94dd7f8cfb1bc5a7bbfe65dc3f985d549c,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      1024,         7,         0,   0.091,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
      1024,         4,         0,   0.075,pymatching-correlated,1539299af7a66d73d3ade7580cc0ccde40d86fd949af58973753d32dbb8103d2,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
        68,         0,         0,   0.024,pymatching,4e405887ea3578b2eae7f24690a14f5dd9ef3411df5a426ca7be3a2cb0a94dd0,"{""basis"":""x"",""d"":9,""p"":0.004,""rounds"":9}",
         2,         0,         0,   0.307,bp_osd,1da0e12676298acb068722f0806e2392354cf9f83bb925f4e526b6dbabd44b9f,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      1160,         0,         0,   0.095,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
      2048,         0,         0,   0.056,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      8192,         8,         0,   0.146,pymatching-correlated,9e2452d0bfb0083c31a35e02e12605ac6a3e51da246f594e1a1ea20e68852a5c,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      1024,         0,         0,   0.023,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
      4096,       112,         0,   0.051,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
     18432,        70,         0,   0.106,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      3072,        12,         0,   0.098,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
     18432,       151,         0,   0.164,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
       128,         3,         0,   0.181,belief_find,68b106f4784274ace44e0db862ccd504ac407090e64b5336e359c480e5b3a524,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
       128,         0,         0,   0.179,bp_osd,90398baf398ad97eea4123916adefc62b5d77cf2ad7d080c13d43cd709fc2415,"{""basis"":""x"",""d"":3,""p"":0.004,""rounds"":3}",
      1024,         0,         0,   0.038,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
      4096,         1,         0,   0.137,pymatching,211037a20246bab0b185c4313d215d4231816cf7c92981f811223783cbc23684,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
     11264,        16,         0,   0.170,pymatching,15fb85d7d630249586613929c4169152d0e88255df56ce92e0dfa3a5be984165,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      4096,        97,         0,   0.031,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      1024,         4,         0,   0.113,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
      3072,        76,         0,   0.049,pymatching-correlated,5bf7c2454e60d3197547ba8e56bff188f5a5bf48ef01482b144fb0f8d6475f23,"{""basis"":""x"",""d"":3,""p"":0.006,""rounds"":3}",
      6144,        55,         0,   0.087,pymatching,3a63d55b16ea8cbfe239c49b90eacb08e8e1d02aad018adaf0ca944f6dfb1357,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      3072,         1,         0,   0.129,pymatching-correlated,8d31a5af7e47a29552746161a7872447a9c481206e8d6cc8a2df594c77d0c0d3,"{""basis"":""x"",""d"":7,""p"":0.002,""rounds"":7}",
      1024,         0,         0,   0.053,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
        64,         1,         0,   0.154,bp_osd,ed968c388b1c4e1b1aa25213fc01cb94dd7f8cfb1bc5a7bbfe65dc3f985d549c,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         1,         0,         0,   0.600,pymatching-correlated,bb744af68fda44142af07cbe5a2c9da6ee75743e8c1493b26d37336f89af963d,"{""basis"":""x"",""d"":9,""p"":0.004,""rounds"":9}",
         1,         0,         0,   0.711,belief_find,fb346a467f737aabcb9aba63dd7faf2005530c4b22c77f1d00dacd3a7873437a,"{""basis"":""x"",""d"":5,""p"":0.002,""rounds"":5}",
      2048,        15,         0,   0.093,pymatching-correlated,62a0582564d898be2e5efe1d5dc3d0322fc75b0e9a5b9534566a2fbe2b93499c,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      1024,         5,         0,   0.184,pymatching-correlated,1539299af7a66d73d3ade7580cc0ccde40d86fd949af58973753d32dbb8103d2,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
        64,         0,         0,   0.219,belief_find,b0ba6ff4e7d908c841df926c53593f09702fba5264c2230f8355fb9e8a320248,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
         1,         0,         0,   0.703,bp_osd,eadd520de7a8aab6cc9278546305b2159b96f6aa8193b0f38bcac88a86353a49,"{""basis"":""x"",""d"":5,""p"":0.004,""rounds"":5}",
      1024,         7,         0,   0.086,pymatching,609a63ff458140a138689d5fa6837d83a6ff73dc00ada72aa725c57c1a64b6f5,"{""basis"":""x"",""d"":7,""p"":0.004,""rounds"":7}",
         1,         0,         0,   0.000,pymatching-correlated,bb744af68fda44142af07cbe5a2c9da6ee75743e8c1493b26d37336f89af963d,"{""basis"":""x"",""d"":9,""p"":0.004,""rounds"":9}",
         1,         0,         0,   0.607,pymatching-correlated,8cb7d484f825de4c869aa5721e37ea761242e75cdf343284f92f182763d73a30,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
     22528,        81,         0,   0.112,pymatching-correlated,5e38dcde9d97b9dd87046538f788995e2358af4ce171d2d665b25ea66b233635,"{""basis"":""x"",""d"":3,""p"":0.002,""rounds"":3}",
      1024,         0,         0,   0.061,pymatching,4411aa2b75799e06e98b76225c85f1c6356ae13a44e920c8fd1f1399c8b75f6e,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
         1,         0,         0,   0.000,pymatching-correlated,8cb7d484f825de4c869aa5721e37ea761242e75cdf343284f92f182763d73a30,"{""basis"":""x"",""d"":9,""p"":0.002,""rounds"":9}",
