permutation_id,optimizer_seed,test_ba_permuted,test_brier
72,8948,0.49145299145299143,0.25536911901400117
73,8985,0.45535714285714285,0.27419396231500887
74,9022,0.40909090909090906,0.25497998022269114
75,9059,0.3958333333333333,0.26051971905456656
76,9096,0.5,0.25843709616651067
77,9133,0.5,0.25219901130750605
78,9170,0.3418803418803419,0.25342155372221237
79,9207,0.6196581196581197,0.24445927909394258
80,9244,0.6363636363636364,0.23966075625778457
81,9281,0.5416666666666667,0.24582798020511343
82,9318,0.48717948717948717,0.2545886687462425
83,9355,0.5416666666666667,0.24022221925336298
84,9392,0.5,0.2567868803767188
85,9429,0.6196581196581197,0.24667470010567927
86,9466,0.4145299145299145,0.28830290399098446
87,9503,0.5,0.2605801883953204
88,9540,0.7727272727272727,0.22614880745549285
89,9577,0.45,0.25790162809143813
90,9614,0.41666666666666663,0.26557444319393836
91,9651,0.5909090909090909,0.2477637563213058
92,9688,0.5,0.2751718260683067
93,9725,0.6752136752136753,0.2390930093901485
94,9762,0.5854700854700855,0.2502328856003022
95,9799,0.5357142857142857,0.257862878801902
96,9836,0.55,0.24946208137154624
97,9873,0.45,0.250846935888417
98,9910,0.45454545454545453,0.26201691715823344
99,9947,0.5909090909090908,0.24086817702798766
100,9984,0.46153846153846156,0.2468838374613943
101,10021,0.4857142857142857,0.26255277582748654
102,10058,0.5916666666666667,0.25927662411291724
103,10095,0.5,0.2547418234978134
104,10132,0.6,0.2450587503533708
105,10169,0.5333333333333333,0.2572386412578036
106,10206,0.5729166666666667,0.26564029157471925
107,10243,0.5,0.2597616531868304
108,10280,0.5357142857142857,0.24820373308197158
109,10317,0.5238095238095238,0.25802855939728886
110,10354,0.6818181818181818,0.24579991550023286
111,10391,0.5,0.25068995332505944
112,10428,0.5,0.24691184614890097
113,10465,0.55,0.24959839501746137
114,10502,0.6363636363636364,0.24580029748606466
115,10539,0.5,0.2536268417200418
116,10576,0.425,0.26977233980446697
117,10613,0.5470085470085471,0.25165051483895856
118,10650,0.6153846153846154,0.2492718334010461
119,10687,0.4145299145299145,0.2908048433407824
120,10724,0.45,0.27395144809611177
121,10761,0.6,0.24703360759404022
122,10798,0.8181818181818181,0.22574727180087573
123,10835,0.5982142857142857,0.2543287001928676
124,10872,0.40909090909090906,0.2749198386080907
125,10909,0.5213675213675213,0.2578330978496991
126,10946,0.5,0.25000173486697447
127,10983,0.5854700854700855,0.26053613898840533
128,11020,0.5904761904761905,0.2671723316438711
129,11057,0.4273504273504274,0.26556063452958445
130,11094,0.5909090909090908,0.24065372709846614
131,11131,0.6818181818181819,0.24448346101821583
132,11168,0.45833333333333337,0.2609432699844117
133,11205,0.5892857142857143,0.26698928194671245
134,11242,0.4145299145299145,0.256820618243522
135,11279,0.48333333333333334,0.25341809795300796
136,11316,0.275,0.28570450663793506
137,11353,0.7272727272727273,0.2387435093832651
138,11390,0.452991452991453,0.2557507754633165
139,11427,0.4375,0.26903258297601684
140,11464,0.4916666666666667,0.2630195935483574
141,11501,0.575,0.2509757975340102
142,11538,0.4487179487179487,0.2664323096528584
143,11575,0.625,0.265692017356172
144,11612,0.5,0.2672586102094885
145,11649,0.3666666666666667,0.2706328578379631
146,11686,0.6068376068376069,0.24713200662389348
147,11723,0.5416666666666667,0.25233316741270456
148,11760,0.3205128205128205,0.2634861473378665
149,11797,0.7857142857142857,0.24518973834632216
150,11834,0.5446428571428571,0.26700824898329895
151,11871,0.48214285714285715,0.255144726051981
152,11908,0.5416666666666667,0.2520067466221852
153,11945,0.41666666666666663,0.25205809925629574
154,11982,0.4238095238095238,0.2897399815780232
155,12019,0.6363636363636364,0.24072796471772104
156,12056,0.5904761904761905,0.2596561506224775
157,12093,0.475,0.26109172807789655
158,12130,0.5,0.2878784693553007
159,12167,0.7666666666666666,0.23066642067634505
160,12204,0.5,0.2554791458206751
161,12241,0.6166666666666667,0.24791918631710355
162,12278,0.5,0.26009038164068277
163,12315,0.4904761904761905,0.2577325376856535
164,12352,0.36363636363636365,0.25753102877968287
165,12389,0.4487179487179487,0.2613440393093946
166,12426,0.5166666666666666,0.25770918680416705
167,12463,0.5909090909090908,0.251795236332802
168,12500,0.5,0.2570300767907914
169,12537,0.40909090909090906,0.27299135425807824
170,12574,0.5909090909090908,0.24429019718126488
171,12611,0.5,0.2681597726210753
172,12648,0.3632478632478633,0.25649796526523155
173,12685,0.55,0.2597593311896296
174,12722,0.5535714285714286,0.2582846739859983
175,12759,0.5357142857142857,0.2662728835591129
176,12796,0.6,0.2541746782087428
177,12833,0.6,0.24272895745949433
178,12870,0.45833333333333337,0.2559244672395388
179,12907,0.3931623931623932,0.27063194545570374
180,12944,0.5416666666666667,0.2559080437138249
181,12981,0.45454545454545453,0.2534314559069938
182,13018,0.5083333333333333,0.25689118664507343
183,13055,0.48717948717948717,0.2559320741935039
184,13092,0.5,0.2803383094662617
185,13129,0.5427350427350428,0.2532163178685965
186,13166,0.43162393162393164,0.25922488383281267
187,13203,0.5,0.24850275255069632
188,13240,0.39743589743589747,0.2869232239375688
189,13277,0.17619047619047618,0.307546578329587
190,13314,0.3392857142857143,0.31428596391677516
191,13351,0.5,0.2506647877619575
192,13388,0.45454545454545453,0.2530986382827807
193,13425,0.2727272727272727,0.26859989840639625
194,13462,0.7727272727272727,0.21791876816945843
195,13499,0.4700854700854701,0.25810586284719844
196,13536,0.3181818181818182,0.27845024119613726
197,13573,0.3660714285714286,0.27858176896539927
198,13610,0.5166666666666666,0.26296593000794544
199,13647,0.4083333333333333,0.2617968491764485
