family,split_type,split_seed,optimizer_seed,accuracy,balanced_accuracy,f1,roc_auc,cross_entropy,brier_score,ece,fixed_threshold_ba,validation_selected_threshold,validation_selected_test_ba,threshold_shift,recalibrated_ba,mean_score_class_0,mean_score_class_1,score_separation,optimizer_success,scipy_optimizer_success,optimizer_message,termination_reason,n_function_evaluations,maxiter_budget,initial_train_loss,best_train_loss,final_train_loss,validation_loss,loss_improvement,last_10_eval_improvement,evaluation_limit_reached,convergence_plateau_detected,training_time
tfim,iid,51,400,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.4712165807617689,0.14664989536279704,0.32017038284341776,0.9545454545454546,0.52,1.0,0.020000000000000018,0.7727272727272727,0.3166638371609137,0.5820444831195669,0.26538064595865324,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7383507258984481,0.4640749318394906,0.4640749318394906,0.4449672227364613,0.27427579405895747,0.0009158197151774017,True,False,85.59030489999714
tfim,iid,51,500,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.45613333733750244,0.13781260176893997,0.32169982658347795,0.9090909090909092,0.56,0.9545454545454546,0.06000000000000005,0.7727272727272727,0.35910815478166513,0.6409541898710924,0.2818460350894273,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6778080194351724,0.44860478480592975,0.44860478480592975,0.42662524592092393,0.2292032346292427,0.000708335761967771,True,False,85.6696437999999
tfim,iid,71,100,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.4869162366505394,0.15125409726299677,0.30227360679377313,0.9090909090909092,0.53,0.9545454545454546,0.030000000000000027,0.8181818181818181,0.3653461889831044,0.6049188432847591,0.2395726543016547,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.6576168507789958,0.48097105788777017,0.48097105788777017,0.46841996439099404,0.17664579289122562,0.001478114272517539,True,False,86.40562270000373
tfim,iid,71,200,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.48367923309870453,0.15170901355739638,0.32948493633979775,0.9545454545454546,0.51,0.9545454545454546,0.010000000000000009,0.8181818181818181,0.3293796011887476,0.5773874115699127,0.2480078103811651,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7835279339404493,0.4768129590102258,0.4768129590102258,0.46518873436052244,0.3067149749302235,0.0012383242674992578,True,False,86.21570770000108
tfim,iid,71,300,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5032044228485812,0.15970914938564135,0.29593429076409156,0.9090909090909092,0.52,0.9545454545454546,0.020000000000000018,0.7727272727272727,0.3557511053956477,0.5773109196606453,0.2215598142649976,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7092685405594107,0.4962190159690721,0.4962190159690721,0.4831768918273234,0.2130495245903386,0.0009003567195755013,True,False,41.501508600005764
tfim,iid,71,400,0.9545454545454546,0.9545454545454546,0.9565217391304348,1.0,0.48828202429321443,0.15403707815463993,0.33142524173061005,0.9545454545454546,0.52,1.0,0.020000000000000018,0.7727272727272727,0.332654680821521,0.5756200761124606,0.24296539529093958,True,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.7388140572927369,0.480730947081004,0.481420743584788,0.4674832545383848,0.2573933137079489,-7.21093170278353e-05,True,True,41.559879000000365
tfim,iid,71,500,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.4629247050579852,0.14145927535955516,0.32436372385855783,0.9090909090909092,0.55,1.0,0.050000000000000044,0.8181818181818181,0.350195102787237,0.6237764712506073,0.27358136846337033,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.677580576485694,0.4553021090062653,0.4553181306631633,0.43920579327801573,0.22226244582253074,0.0010677416738846257,True,False,85.98621590000403
tfim,iid,89,100,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5179170535469316,0.16525987278344692,0.306656399540202,0.9090909090909092,0.5,0.9090909090909092,0.0,0.7272727272727273,0.3740186087457877,0.5737844048818186,0.1997657961360309,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,150,150,0.6563437504485562,0.4859691821763523,0.4859691821763523,0.4903226576971782,0.17037456827220387,0.0009013816523003038,True,False,44.77935190000426
tfim,iid,89,200,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5140799883598263,0.16389411273399793,0.30380017796410885,0.9090909090909092,0.5,0.9090909090909092,0.0,0.7272727272727273,0.36400249809425084,0.5698236913063635,0.20582119321211262,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7875703741655187,0.48057417352074644,0.48057417352074644,0.4853146760006572,0.30699620064477223,0.0015966846899553855,True,False,88.42494960000477
tfim,iid,89,300,0.9090909090909091,0.9090909090909092,0.9166666666666666,1.0,0.5100554087101994,0.16191117481616746,0.2973226514605607,0.9090909090909092,0.5,0.9090909090909092,0.0,0.7727272727272727,0.3746103748775608,0.5856981334606691,0.2110877585831083,False,False,Return from COBYLA because the objective function has been evaluated MAXFUN times.,Return from COBYLA because the objective function has been evaluated MAXFUN times.,300,300,0.7100321608792303,0.4730461945231,0.4730496202076524,0.4767718821828485,0.23698254067157787,0.0011188999860970994,True,False,88.63799129999825
