family,split_type,bin,accuracy,confidence,count
tfim,iid,1,0.0,0.18158750889253888,1
tfim,iid,2,0.0,0.23452506198990827,1
tfim,iid,3,0.0,0.35871896602037545,4
tfim,iid,4,0.0,0.43163774503061014,3
tfim,iid,5,0.8461538461538461,0.5645651422776257,13
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.18300162469414025,1
tfim,iid,2,0.0,0.23772400210574737,1
tfim,iid,3,0.0,0.3529508749621546,3
tfim,iid,4,0.0,0.43085684993552525,4
tfim,iid,5,0.8461538461538461,0.5635266397054347,13
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1459882781369253,1
tfim,iid,2,0.0,0.24825216123634453,2
tfim,iid,3,0.0,0.369509705085186,4
tfim,iid,4,0.0,0.4423179932343743,2
tfim,iid,5,0.8461538461538461,0.5641284947889784,13
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1923041026599634,1
tfim,iid,2,0.0,0.25073187141491776,1
tfim,iid,3,0.0,0.3582429885814409,2
tfim,iid,4,0.0,0.4368234513978432,4
tfim,iid,5,0.0,0.5596113317483936,3
tfim,iid,6,1.0,0.6387835085846718,11
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1852346949195476,2
tfim,iid,2,0.0,0.23037866665489817,3
tfim,iid,3,0.0,0.34029373165388327,3
tfim,iid,4,0.0,0.45256102288821004,1
tfim,iid,5,0.5,0.5645744796917739,4
tfim,iid,6,1.0,0.6269242052070839,9
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.150830023905709,2
tfim,iid,2,0.0,0.21321850921478894,3
tfim,iid,3,0.0,0.33522692217291983,3
tfim,iid,4,0.0,0.4660547484118345,2
tfim,iid,5,0.9166666666666666,0.5713472867344462,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.14546654466134268,5
tfim,iid,2,,0.25,0
tfim,iid,3,0.0,0.31687032174141955,3
tfim,iid,4,0.0,0.4446971923566232,1
tfim,iid,5,0.5,0.5570566647431151,4
tfim,iid,6,1.0,0.6102594115426075,9
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,0.0,0.09444613181683405,1
tfim,iid,1,0.0,0.14948080911480416,4
tfim,iid,2,0.0,0.29282613893826664,1
tfim,iid,3,0.0,0.3069791215989571,2
tfim,iid,4,0.0,0.4585503191542808,2
tfim,iid,5,0.75,0.5700352794144881,4
tfim,iid,6,1.0,0.6058443748513257,8
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1761779899199975,2
tfim,iid,2,0.0,0.24060662646744865,3
tfim,iid,3,0.0,0.36518484500186127,3
tfim,iid,4,0.0,0.47059760596130423,1
tfim,iid,5,0.5,0.5681752792387603,4
tfim,iid,6,1.0,0.624608266751807,9
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.17780939222789297,3
tfim,iid,2,0.0,0.2790238319339877,2
tfim,iid,3,0.0,0.36318820463801743,3
tfim,iid,4,0.0,0.4612058435411684,3
tfim,iid,5,1.0,0.5731103391739105,11
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.11662214899692741,3
tfim,iid,2,0.0,0.25336107514154815,2
tfim,iid,3,0.0,0.3610366732408313,3
tfim,iid,4,0.0,0.4640943007309236,2
tfim,iid,5,0.5,0.5588316748663078,2
tfim,iid,6,1.0,0.6266589874216127,10
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.12235525286122757,3
tfim,iid,2,0.0,0.25796450397369525,2
tfim,iid,3,0.0,0.36234169955374734,3
tfim,iid,4,0.0,0.4583332084496322,2
tfim,iid,5,0.9166666666666666,0.5832039015955142,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,0.0,0.09484339656447653,2
tfim,iid,1,0.0,0.11894291311200485,1
tfim,iid,2,0.0,0.24489376488929815,2
tfim,iid,3,0.0,0.3531667348691034,3
tfim,iid,4,0.0,0.45230489837084803,2
tfim,iid,5,0.9166666666666666,0.5791011774214487,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.14814576730416276,3
tfim,iid,2,0.0,0.2771842327913351,2
tfim,iid,3,0.0,0.36952374384548065,3
tfim,iid,4,0.0,0.4676844251052203,3
tfim,iid,5,1.0,0.5743803027706841,11
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1716877030020867,2
tfim,iid,2,,0.25,0
tfim,iid,3,0.0,0.35129692056004364,4
tfim,iid,4,0.0,0.4445475458642203,3
tfim,iid,5,0.8461538461538461,0.5553358448593607,13
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.12959118390733831,2
tfim,iid,2,0.0,0.2808648790767582,1
tfim,iid,3,0.0,0.35041449607639014,3
tfim,iid,4,0.0,0.4499361153711546,4
tfim,iid,5,0.9166666666666666,0.5522984348769197,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.121515518689267,2
tfim,iid,2,0.0,0.29101976620708103,1
tfim,iid,3,0.0,0.3700640820032,3
tfim,iid,4,0.0,0.46515225132901183,3
tfim,iid,5,0.6666666666666666,0.5617482384796241,6
tfim,iid,6,1.0,0.6085481486527097,7
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,0.0,0.08714307794287726,1
tfim,iid,1,0.0,0.12786797956428964,1
tfim,iid,2,0.0,0.27149693808218145,1
tfim,iid,3,0.0,0.3485978509156132,3
tfim,iid,4,0.0,0.44441562085976405,3
tfim,iid,5,0.75,0.5595561494123261,8
tfim,iid,6,1.0,0.606610264334385,5
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,iid,0,,0.05,0
tfim,iid,1,0.0,0.1547870134271958,2
tfim,iid,2,0.0,0.29637667573167475,1
tfim,iid,3,0.0,0.36076287661589457,3
tfim,iid,4,0.0,0.4523719143890229,4
tfim,iid,5,0.9166666666666666,0.5484032369248361,12
tfim,iid,6,,0.6500000000000001,0
tfim,iid,7,,0.75,0
tfim,iid,8,,0.8500000000000001,0
tfim,iid,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,0.0,0.28971475641785627,4
tfim,parameter_block,3,0.0,0.3390451046487498,17
tfim,parameter_block,4,0.5833333333333334,0.46157447777088806,24
tfim,parameter_block,5,1.0,0.5101106387307704,22
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,0.0,0.2906736123424761,1
tfim,parameter_block,3,0.0,0.3377366401256855,18
tfim,parameter_block,4,0.3333333333333333,0.457878098258653,18
tfim,parameter_block,5,1.0,0.5233891719297035,30
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,,0.25,0
tfim,parameter_block,3,0.0,0.3452828964772738,18
tfim,parameter_block,4,0.07142857142857142,0.4586233601387244,14
tfim,parameter_block,5,1.0,0.5343735834913241,35
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
tfim,parameter_block,8,,0.8500000000000001,0
tfim,parameter_block,9,,0.95,0
tfim,parameter_block,0,,0.05,0
tfim,parameter_block,1,,0.15000000000000002,0
tfim,parameter_block,2,,0.25,0
tfim,parameter_block,3,0.0,0.3602686787326496,15
tfim,parameter_block,4,0.0,0.4551981351685912,12
tfim,parameter_block,5,0.9,0.5549392649267684,40
tfim,parameter_block,6,,0.6500000000000001,0
tfim,parameter_block,7,,0.75,0
