distance,decoder,rho_bin,logical_failure_rate,p50_us,p95_us,p99_us,samples,rho_mid
7.0,bp_osd,"(0.1, 0.125]",0.08686376104846083,5484.1,8898.9,11731.939999999997,3281,0.1125
7.0,bp_osd,"(0.125, 0.15]",0.16830985915492958,5922.200000000001,10032.949999999999,14889.33199999999,1420,0.1375
7.0,bp_osd,"(0.15, 0.175]",0.2556390977443609,6253.4,9948.329999999994,14687.506,399,0.16249999999999998
7.0,bp_osd,"(0.175, 0.2]",0.375,6524.15,14144.004999999986,40494.68499999985,64,0.1875
7.0,bp_osd,"(0.2, 0.225]",0.0,6779.75,7701.349999999999,7799.629999999999,4,0.21250000000000002
7.0,bp_osd,"(0.225, 0.25]",0.0,4413.2,4413.2,4413.2,1,0.2375
7.0,mwpm,"(-0.001, 0.025]",0.0,32.7,53.0,74.76200000000009,1959,0.012
7.0,mwpm,"(0.025, 0.05]",0.0,37.0,59.709999999999994,86.14200000000001,3959,0.037500000000000006
7.0,mwpm,"(0.05, 0.075]",0.004814004376367615,43.5,86.0,127.76200000000009,4570,0.0625
7.0,mwpm,"(0.075, 0.1]",0.020796347958407305,47.4,107.16999999999989,153.22199999999992,3943,0.0875
7.0,mwpm,"(0.1, 0.125]",0.0487656202377324,44.5,119.9,165.69999999999965,3281,0.1125
7.0,mwpm,"(0.125, 0.15]",0.0823943661971831,43.7,133.52499999999998,186.31199999999973,1420,0.1375
7.0,mwpm,"(0.15, 0.175]",0.16791979949874686,48.8,130.21999999999997,197.8659999999995,399,0.16249999999999998
7.0,mwpm,"(0.175, 0.2]",0.15625,53.85,154.485,302.70799999999986,64,0.1875
7.0,mwpm,"(0.2, 0.225]",0.25,68.19999999999999,72.86,73.292,4,0.21250000000000002
7.0,mwpm,"(0.225, 0.25]",0.0,61.6,61.6,61.6,1,0.2375
7.0,mwpm_correlated,"(-0.001, 0.025]",0.0,31.6,59.31999999999998,85.23600000000006,1959,0.012
7.0,mwpm_correlated,"(0.025, 0.05]",0.00025258903763576663,45.5,88.80999999999999,128.61400000000012,3959,0.037500000000000006
